"TI3";""RaySha"";""MorEel"";""SnaGru"";""LizFish"";""CarangO"";""Lscian"";""CatFish"";""FlatFish"";""PreCrab"";""SdemFish"";""Shrimp"";""Spela"";""EpBenth"";""Squid"";""EndBenth"";""Zoopl"";""Bird"";""MicroPhyto"";""Mangr"";""Phyto"";;SUM
""RaySha"";"0,05";"0,07";"0,06";"0,08";"0,07";"0,07";"0,08";"0,07";"0,07";"0,06";"0,06";"0,07";"0,06";"0,04";"0,03";"0,04";"0,03";"0,03";"0,03";"0,03";;"1,09"
""MorEel"";"0,07";"0,05";"0,06";"0,08";"0,04";"0,07";"0,08";"0,07";"0,07";"0,06";"0,06";"0,07";"0,06";"0,07";"0,03";"0,03";"0,04";"0,03";"0,03";"0,03";;"1,09"
""SnaGru"";"0,07";"0,07";"0,05";"0,08";"0,08";"0,07";"0,05";"0,08";"0,07";"0,07";"0,06";"0,07";"0,06";"0,08";"0,07";"0,08";"0,05";"0,04";"0,04";"0,05";;"1,30"
""LizFish"";"0,06";"0,06";"0,06";"0,04";"0,03";"0,06";"0,04";"0,07";"0,06";"0,05";"0,05";"0,06";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,02";;"0,89"
""CarangO"";"0,05";"0,03";"0,05";"0,03";"0,04";"0,03";"0,03";"0,03";"0,05";"0,05";"0,05";"0,06";"0,05";"0,06";"0,03";"0,06";"0,03";"0,03";"0,02";"0,03";;"0,82"
""Lscian"";"0,07";"0,07";"0,07";"0,08";"0,05";"0,05";"0,09";"0,07";"0,07";"0,06";"0,06";"0,07";"0,06";"0,08";"0,03";"0,07";"0,04";"0,03";"0,03";"0,04";;"1,19"
""CatFish"";"0,05";"0,06";"0,03";"0,03";"0,03";"0,05";"0,04";"0,03";"0,02";"0,05";"0,04";"0,05";"0,04";"0,06";"0,02";"0,03";"0,03";"0,02";"0,02";"0,02";;"0,72"
""FlatFish"";"0,07";"0,06";"0,06";"0,07";"0,03";"0,06";"0,04";"0,04";"0,07";"0,06";"0,05";"0,06";"0,05";"0,03";"0,06";"0,03";"0,04";"0,04";"0,04";"0,03";;"1,00"
""PreCrab"";"0,07";"0,07";"0,06";"0,07";"0,07";"0,06";"0,04";"0,07";"0,05";"0,06";"0,06";"0,04";"0,06";"0,04";"0,07";"0,04";"0,09";"0,04";"0,04";"0,03";;"1,12"
""SdemFish"";"0,08";"0,08";"0,07";"0,08";"0,08";"0,07";"0,09";"0,08";"0,08";"0,06";"0,07";"0,05";"0,07";"0,08";"0,08";"0,08";"0,05";"0,13";"0,05";"0,05";;"1,45"
""Shrimp"";"0,08";"0,08";"0,08";"0,08";"0,09";"0,08";"0,09";"0,08";"0,08";"0,08";"0,06";"0,05";"0,08";"0,09";"0,10";"0,08";"0,11";"0,14";"0,17";"0,05";;"1,75"
""Spela"";"0,07";"0,07";"0,06";"0,07";"0,07";"0,07";"0,08";"0,06";"0,04";"0,04";"0,04";"0,05";"0,04";"0,08";"0,04";"0,07";"0,09";"0,02";"0,02";"0,12";;"1,19"
""EpBenth"";"0,08";"0,08";"0,07";"0,08";"0,08";"0,07";"0,09";"0,08";"0,08";"0,07";"0,08";"0,05";"0,06";"0,05";"0,07";"0,08";"0,10";"0,13";"0,16";"0,13";;"1,69"
""Squid"";"0,03";"0,06";"0,05";"0,03";"0,07";"0,06";"0,08";"0,03";"0,03";"0,05";"0,05";"0,06";"0,03";"0,05";"0,03";"0,07";"0,08";"0,03";"0,02";"0,03";;"0,95"
""EndBenth"";"0,02";"0,02";"0,05";"0,03";"0,03";"0,03";"0,02";"0,06";"0,06";"0,05";"0,06";"0,03";"0,04";"0,03";"0,06";"0,07";"0,09";"0,12";"0,15";"0,12";;"1,14"
