TI3;"Cepha""""";"Pisc""""";"Mcarni""""";"InvFeedOne""""";"InvFeedThree""""";"SuspFeed""""";"Deca""""";"Gastro""""";"Bird""""";"InvFeedTwo""""";"Dpunt""""";"HerbFish""""";"PlFish""""";"Mugil""""";"Blen""""";"Polych""""";"Crus""""";"Amph""""";"MacroAlga""""";"Echino""""";"InvFeedFour""""";"Zoopl""""";"Macropl""""";"Phyto""""";"PelBaci""""";"Proto""""";;SUM
"Cepha""""";0,03;0,05;0,05;0,04;0,05;0,03;0,03;0,04;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;;0,58
"Pisc""""";0,08;0,04;0,06;0,05;0,05;0,03;0,04;0,03;0,04;0,06;0,06;0,06;0,06;0,01;0,05;0,04;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,01;0,02;0,01;;0,98
"Mcarni""""";0,08;0,06;0,04;0,06;0,06;0,02;0,04;0,05;0,07;0,03;0,03;0,03;0,07;0,02;0,06;0,03;0,04;0,05;0,05;0,02;0,03;0,02;0,03;0,01;0,01;0,01;;1,06
"InvFeedOne""""";0,09;0,07;0,07;0,04;0,07;0,05;0,05;0,06;0,07;0,04;0,04;0,04;0,03;0,03;0,06;0,05;0,05;0,06;0,05;0,06;0,03;0,03;0,03;0,02;0,03;0,02;;1,21
"InvFeedThree""""";0,09;0,06;0,06;0,06;0,04;0,05;0,05;0,06;0,07;0,04;0,04;0,03;0,03;0,03;0,03;0,05;0,04;0,05;0,05;0,06;0,03;0,02;0,02;0,02;0,03;0,02;;1,12
"SuspFeed""""";0,08;0,04;0,03;0,06;0,06;0,05;0,06;0,06;0,03;0,07;0,07;0,07;0,04;0,04;0,06;0,06;0,06;0,04;0,04;0,07;0,03;0,07;0,1;0,1;0,12;0,11;;1,64
"Deca""""";0,09;0,08;0,07;0,07;0,07;0,07;0,06;0,07;0,04;0,08;0,04;0,08;0,05;0,04;0,08;0,07;0,06;0,07;0,07;0,08;0,11;0,07;0,11;0,05;0,12;0,1;;1,88
"Gastro""""";0,09;0,04;0,07;0,06;0,06;0,05;0,05;0,04;0,04;0,07;0,04;0,07;0,07;0,02;0,07;0,05;0,05;0,06;0,06;0,06;0,03;0,03;0,03;0,02;0,03;0,02;;1,3
"Bird""""";0,02;0,03;0,05;0,04;0,04;0,02;0,02;0,02;0,04;0,05;0,06;0,05;0,06;0,08;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;;0,77
"InvFeedTwo""""";0,02;0,05;0,02;0,03;0,03;0,04;0,04;0,05;0,06;0,03;0,03;0,03;0,02;0,02;0,02;0,04;0,04;0,05;0,04;0,05;0,02;0,02;0,02;0,02;0,03;0,02;;0,85
"Dpunt""""";0,02;0,05;0,02;0,02;0,02;0,03;0,02;0,02;0,06;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,03;0,04;0,04;0,05;0,02;0,02;0,02;0,02;0,02;0,01;;0,69
"HerbFish""""";0,02;0,05;0,02;0,02;0,02;0,04;0,04;0,04;0,06;0,03;0,03;0,03;0,02;0,02;0,02;0,04;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,76
"PlFish""""";0,02;0,05;0,05;0,02;0,02;0,02;0,02;0,04;0,06;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,03;0,04;0,02;0,01;0,02;0,04;0,09;0,02;0,01;0,01;;0,75
"Mugil""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,03;0,01;0,03;0,01;0,02;0,04;0,01;0,07;0,01;0,02;;0,49
"Blen""""";0,03;0,05;0,05;0,05;0,03;0,04;0,04;0,05;0,02;0,03;0,03;0,03;0,03;0,02;0,03;0,04;0,04;0,05;0,05;0,03;0,03;0,05;0,03;0,02;0,02;0,02;;0,92
"Polych""""";0,04;0,07;0,04;0,06;0,06;0,06;0,06;0,06;0,04;0,07;0,08;0,08;0,03;0,04;0,07;0,05;0,06;0,06;0,06;0,07;0,04;0,06;0,04;0,09;0,11;0,05;;1,54
"Crus""""";0,04;0,04;0,07;0,06;0,06;0,06;0,06;0,06;0,05;0,07;0,08;0,08;0,08;0,12;0,07;0,06;0,05;0,05;0,07;0,07;0,11;0,08;0,05;0,11;0,05;0,1;;1,81
"Amph""""";0,03;0,04;0,06;0,06;0,06;0,03;0,05;0,06;0,04;0,06;0,07;0,07;0,07;0,03;0,06;0,05;0,04;0,04;0,06;0,03;0,1;0,05;0,04;0,02;0,02;0,02;;1,26
"MacroAlga""""";0,03;0,04;0,06;0,06;0,06;0,04;0,05;0,06;0,04;0,07;0,08;0,07;0,04;0,1;0,07;0,06;0,06;0,07;0,05;0,06;0,1;0,04;0,09;0,03;0,03;0,03;;1,49
"Echino""""";0,03;0,03;0,02;0,05;0,05;0,05;0,05;0,05;0,03;0,06;0,07;0,03;0,02;0,02;0,03;0,05;0,04;0,03;0,05;0,04;0,03;0,05;0,03;0,03;0,1;0,04;;1,06
"InvFeedFour""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,04;0,03;0,01;0,02;0,04;0,02;0,01;0,01;0,01;;0,42
"Zoopl""""";0,02;0,02;0,02;0,02;0,02;0,05;0,05;0,03;0,03;0,03;0,03;0,03;0,07;0,11;0,06;0,05;0,05;0,05;0,03;0,05;0,1;0,05;0,1;0,11;0,04;0,1;;1,32
"Macropl""""";0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,04;0,03;0,01;0,01;0,02;;0,45
