TI3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"BalWhale""""";0,02;0,02;0,02;0,02;0,02;0,01;0,03;0,01;0,02;0,04;0,01;0;0,01;0;0,01;0,01;0,01;0;0;0;0,01;0;0;0,01;0,01;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0;0,01;0,01;0,01;0;0;;0,48;
"Jwhit""""";0,05;0,02;0,03;0,03;0,01;0,02;0,01;0,02;0,02;0,01;0,03;0,02;0,03;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,03;0,05;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;;1,2;
"NorPout""""";0,06;0,03;0,03;0,02;0,04;0,02;0,02;0,03;0,03;0,02;0,04;0,03;0,03;0,03;0,04;0,04;0,07;0,03;0,02;0,02;0,03;0,02;0,03;0,05;0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,04;0,05;0,02;0,02;0,02;0,02;0,03;0,05;0,01;0,02;0,02;0,04;0,02;0,02;0,03;0,01;0,01;0,04;0,01;0,04;0,04;0,03;0,06;0,01;0,01;0,04;0,01;0,01;0,01;0,02;0,01;0,01;;1,71;
"Sprat""""";0,05;0,03;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,01;0,04;0,03;0,07;0,01;0,03;0,02;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,05;0,01;0,02;0,05;0,02;0,03;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,03;0,05;0,01;0,01;0,04;0,01;0,03;0,05;0,02;0,01;0,01;;1,43;
"Mack""""";0,05;0,01;0,03;0,03;0,03;0,02;0,02;0,02;0,03;0,02;0,04;0,01;0,01;0,01;0,02;0,03;0,07;0,02;0,02;0,02;0,03;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,04;0,03;0,05;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,01;0,03;0,02;0,02;0,01;0,01;;1,27;
"Sande""""";0,06;0,04;0,03;0,03;0,04;0,03;0,02;0,03;0,03;0,03;0,04;0,03;0,03;0,04;0,04;0,04;0,02;0,04;0,03;0,03;0,04;0,04;0,03;0,05;0,04;0,02;0,03;0,02;0,02;0,02;0,02;0,05;0,05;0,02;0,03;0,05;0,02;0,03;0,06;0,02;0,03;0,03;0,05;0,02;0,02;0,03;0,03;0,05;0,04;0,05;0,05;0,04;0,04;0,06;0,02;0,02;0,02;0,02;0,04;0,05;0,02;0,02;0,02;;2,14;
"FiltFeedPelaFish""""";0,05;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,05;0,01;0,01;0,02;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,03;0,01;0,01;0,01;0,02;0,01;0,01;;0,76;
"SquidCuttFish""""";0,06;0,04;0,03;0,04;0,04;0,03;0,05;0,03;0,04;0,03;0,04;0,03;0,03;0,04;0,05;0,04;0,03;0,04;0,03;0,02;0,04;0,02;0,03;0,05;0,04;0,03;0,03;0,04;0,05;0,06;0,06;0,02;0,02;0,02;0,03;0,02;0,05;0,04;0,02;0,01;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,06;0,02;0,03;0,05;0,02;0,02;0,06;0,08;0,01;0,01;;2,1;
"CarnZoopl""""";0,06;0,03;0,03;0,02;0,04;0,03;0,05;0,03;0,03;0,06;0,02;0,03;0,03;0,03;0,04;0,04;0,02;0,04;0,02;0,04;0,03;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,06;0,05;0,04;0,02;0,01;0,01;0,01;0,04;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,02;0,01;0,01;0,04;0,07;0,04;0,02;0,08;0,01;0,01;;1,68;
"GelZoopl""""";0,05;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0;0;0,01;0;0,01;0,01;0;0;0;0,01;0,01;0;0;0;0,03;0;0;0,02;0;0,01;0;0;0,01;0;0;0,01;0;0,02;0,05;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,03;0,05;0,07;0;0;;0,66;
