TI3;"Mull""""";"Ins""""";"Amph""""";"Dipsar""""";"Dicpun""""";;SUM;;;
"Amph""""";0,33;0,17;0,17;0,33;0,33;;1,33;;thresold;0,22
"Dicpun""""";0,11;0,22;0,22;0,11;0,11;;0,78;;;
"Dipsar""""";0,11;0,22;0,22;0,11;0,11;;0,78;;;
"Ins""""";0,33;0,17;0,17;0,33;0,33;;1,33;;;
"Mull""""";0,11;0,22;0,22;0,11;0,11;;0,78;;;
;;;;;;;;;;
;;;;;;;;;;
WI3;"Mull""""";"Ins""""";"Amph""""";"Dipsar""""";"Dicpun""""";;SUM;;;
"Amph""""";59364411215;6375786,33;3162369,44;21655609719;11002081661;;92031640751,56;;thresold;26507382424,50
"Dicpun""""";2854388,22;17671588283;7334721107;1256831,67;648197,44;;25011068807,70;;;26507382424,50
"Dipsar""""";5620150,44;34694822642;14437073146;2439484,11;1256831,67;;49141212254,37;;;
"Ins""""";1,3854E+11;15387798,33;6375786,33;52042233963;26507382425;;217111340553,33;;;
"Mull""""";15462486,22;92359973721;39576274144;5620150,44;2854388,22;;131960184889,33;;;
